"filename", "language", "Markdown", "JavaScript", "Skill", "JSON", "XML", "PHP", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\marchando\.agents\mcp_config.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\laragon\www\marchando\.agents\skills\infer-conventions\SKILL.md", "Skill", 0, 0, 65, 0, 0, 0, 0, 0, 40, 105
"c:\laragon\www\marchando\.agents\skills\infer-conventions\references\checklist.md", "Markdown", 111, 0, 0, 0, 0, 0, 0, 0, 27, 138
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\SKILL.md", "Skill", 0, 0, 47, 0, 0, 0, 0, 0, 13, 60
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\advanced-queries.md", "Markdown", 78, 0, 0, 0, 0, 0, 0, 0, 29, 107
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\architecture.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 64, 220
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\blade-views.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 15, 37
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\caching.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 0, 36, 101
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\collections.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 26, 73
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\config.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 29, 88
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\db-performance.md", "Markdown", 138, 0, 0, 0, 0, 0, 0, 0, 52, 190
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\eloquent.md", "Markdown", 113, 0, 0, 0, 0, 0, 0, 0, 46, 159
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\error-handling.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 22, 78
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\events-notifications.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 21, 53
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\http-client.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 42, 158
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\mail.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 20, 55
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\migrations.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 27, 68
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\queue-jobs.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 34, 118
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\routing.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 34, 107
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\scheduling.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 21, 62
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\security.md", "Markdown", 109, 0, 0, 0, 0, 0, 0, 0, 48, 157
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\style.md", "Markdown", 82, 0, 0, 0, 0, 0, 0, 0, 29, 111
"c:\laragon\www\marchando\.agents\skills\laravel-best-practices\rules\validation.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 27, 90
"c:\laragon\www\marchando\.agents\skills\tailwindcss-development\SKILL.md", "Skill", 0, 0, 68, 0, 0, 0, 0, 4, 25, 97
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\SKILL.md", "Skill", 0, 0, 43, 0, 0, 0, 0, 0, 15, 58
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\assertions.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 22, 61
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\endpoint-tests.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 19, 48
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\finding-features.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 10, 34
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\isolation.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 19, 53
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\naming.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\performance.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 18, 47
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\review.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 13, 43
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\security.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\laragon\www\marchando\.agents\skills\testing-best-practices\rules\test-data.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 19, 69
"c:\laragon\www\marchando\.claude\skills\infer-conventions\SKILL.md", "Skill", 0, 0, 65, 0, 0, 0, 0, 0, 40, 105
"c:\laragon\www\marchando\.claude\skills\infer-conventions\references\checklist.md", "Markdown", 111, 0, 0, 0, 0, 0, 0, 0, 27, 138
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\SKILL.md", "Skill", 0, 0, 47, 0, 0, 0, 0, 0, 13, 60
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\advanced-queries.md", "Markdown", 78, 0, 0, 0, 0, 0, 0, 0, 29, 107
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\architecture.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 64, 220
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\blade-views.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 15, 37
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\caching.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 0, 36, 101
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\collections.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 26, 73
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\config.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 29, 88
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\db-performance.md", "Markdown", 138, 0, 0, 0, 0, 0, 0, 0, 52, 190
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\eloquent.md", "Markdown", 113, 0, 0, 0, 0, 0, 0, 0, 46, 159
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\error-handling.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 22, 78
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\events-notifications.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 21, 53
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\http-client.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 42, 158
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\mail.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 20, 55
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\migrations.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 27, 68
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\queue-jobs.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 34, 118
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\routing.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 34, 107
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\scheduling.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 21, 62
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\security.md", "Markdown", 109, 0, 0, 0, 0, 0, 0, 0, 48, 157
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\style.md", "Markdown", 82, 0, 0, 0, 0, 0, 0, 0, 29, 111
"c:\laragon\www\marchando\.claude\skills\laravel-best-practices\rules\validation.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 27, 90
"c:\laragon\www\marchando\.claude\skills\tailwindcss-development\SKILL.md", "Skill", 0, 0, 68, 0, 0, 0, 0, 4, 25, 97
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\SKILL.md", "Skill", 0, 0, 43, 0, 0, 0, 0, 0, 15, 58
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\assertions.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 22, 61
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\endpoint-tests.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 19, 48
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\finding-features.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 10, 34
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\isolation.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 19, 53
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\naming.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"c:\laragon\www\marchando\.claude\skills\testing-best-practices\rules\performance.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 18, 47
